first_trade_ts,last_trade_ts,profiling
1723161600.0429,1723161620.1012,"{'total_volume': 5001441.407899995, 'delta': 1182920.8508999974, 'trade_count': 815, 'buy_trade_count': 586, 'sell_trade_count': 229, 'val': 61700, 'vah': 61700, 'poc': 61700, 'poc_idx': 1, 'poc_volume': 3870399, 'bid_volume': 3086379.641699997, 'ask_volume': 1909260.2785000002, 'profiles': {61650.0: {'volume': 647649.8804999999, 'bid': 290457.06610000005, 'ask': 357192.8143999998, 'delta': -66735.74829999956, 't_count': 161, 't_b_count': 89, 't_a_count': 72}, 61700.0: {'volume': 3870399.9208999984, 'bid': 2332406.529199998, 'ask': 1537993.3916999998, 'delta': 794413.1374999984, 't_count': 574, 't_b_count': 424, 't_a_count': 150}, 61750.0: {'volume': 483391.6064999999, 'bid': 469317.5341, 'ask': 14074.072399999997, 'delta': 455243.4617, 't_count': 80, 't_b_count': 73, 't_a_count': 7}}}"
1723161620.1012,1723161662.9312,"{'delta': -2799931.994500008, 'trade_count': 1343, 'buy_trade_count': 466, 'sell_trade_count': 877, 'val': 61600, 'vah': 61700, 'poc': 61650, 'poc_idx': 1, 'poc_volume': 2303630, 'total_volume': 5037817.50549999, 'bid_volume': 1118325.6414999997, 'ask_volume': 3913509.457100006, 'profiles': {61700.0: {'volume': 1058975.1995000006, 'bid': 635060.0007999997, 'ask': 423915.1987, 'delta': 211144.80209999994, 't_count': 470, 't_b_count': 288, 't_a_count': 182}, 61650.0: {'volume': 2303630.830099999, 'bid': 310267.7291, 'ask': 1993363.101, 'delta': -1683095.3718999997, 't_count': 413, 't_b_count': 143, 't_a_count': 270}, 61600.0: {'volume': 1675211.4759000007, 'bid': 173615.02560000002, 'ask': 1501596.4502999994, 'delta': -1327981.4246999999, 't_count': 460, 't_b_count': 35, 't_a_count': 425}}}"
1723161662.9322,1723161666.0556,"{'delta': -4224915.686999998, 'trade_count': 876, 'buy_trade_count': 64, 'sell_trade_count': 812, 'val': 61550, 'vah': 61550, 'poc': 61550, 'poc_idx': 0, 'poc_volume': 3661357, 'total_volume': 5061131.0332, 'bid_volume': 418107.67309999984, 'ask_volume': 4642038.025699998, 'profiles': {61600.0: {'volume': 1399773.7687999988, 'bid': 361711.34579999984, 'ask': 1038062.423, 'delta': -676351.0772000002, 't_count': 318, 't_b_count': 51, 't_a_count': 267}, 61550.0: {'volume': 3661357.264399997, 'bid': 56396.327300000004, 'ask': 3604960.937099997, 'delta': -3548564.609799996, 't_count': 558, 't_b_count': 13, 't_a_count': 545}}}"
1723161666.0556,1723161673.697,"{'delta': 981400.475599999, 'trade_count': 632, 'buy_trade_count': 334, 'sell_trade_count': 298, 'val': 61550, 'vah': 61550, 'poc': 61550, 'poc_idx': 0, 'poc_volume': 5005271, 'total_volume': 5005271.309999998, 'bid_volume': 2993335.892799997, 'ask_volume': 1993415.4289999995, 'profiles': {61550.0: {'volume': 5005271.309999998, 'bid': 2993335.892799997, 'ask': 2011935.4171999996, 'delta': 981400.475599999, 't_count': 632, 't_b_count': 334, 't_a_count': 298}}}"
1723161673.697,1723161685.9935,"{'delta': 558136.5269000016, 'trade_count': 478, 'buy_trade_count': 247, 'sell_trade_count': 231, 'val': 61550, 'vah': 61550, 'poc': 61550, 'poc_idx': 0, 'poc_volume': 5051547, 'total_volume': 5051547.486699998, 'bid_volume': 2804842.0068, 'ask_volume': 2233656.8798999996, 'profiles': {61550.0: {'volume': 5051547.486699998, 'bid': 2804842.0068, 'ask': 2246705.4798999997, 'delta': 558136.5269000016, 't_count': 478, 't_b_count': 247, 't_a_count': 231}}}"
1723161685.9935,1723161701.281,"{'delta': 848061.1764000007, 'trade_count': 731, 'buy_trade_count': 424, 'sell_trade_count': 307, 'val': 61600, 'vah': 61600, 'poc': 61600, 'poc_idx': 1, 'poc_volume': 4302383, 'total_volume': 5000156.357600006, 'bid_volume': 2916535.646800003, 'ask_volume': 2076047.5905999998, 'profiles': {61550.0: {'volume': 697772.8368000003, 'bid': 697772.8368000003, 'ask': 0, 'delta': 697772.8368000003, 't_count': 82, 't_b_count': 82, 't_a_count': 0}, 61600.0: {'volume': 4302383.520800006, 'bid': 2226335.930199997, 'ask': 2076047.5905999998, 'delta': 150288.3396, 't_count': 649, 't_b_count': 342, 't_a_count': 307}}}"
1723161701.281,1723161730.0292,"{'delta': -618048.2104, 'trade_count': 984, 'buy_trade_count': 504, 'sell_trade_count': 480, 'val': 61600, 'vah': 61600, 'poc': 61600, 'poc_idx': 1, 'poc_volume': 4563890, 'total_volume': 5003046.919399987, 'bid_volume': 2173471.736100002, 'ask_volume': 2809562.3872999963, 'profiles': {61600.0: {'volume': 4563890.939999997, 'bid': 2119847.0975000025, 'ask': 2444043.8425000017, 'delta': -324196.74499999936, 't_count': 798, 't_b_count': 467, 't_a_count': 331}, 61550.0: {'volume': 321450.7018, 'bid': 70988.362, 'ask': 250462.3398000001, 'delta': -179473.97780000002, 't_count': 166, 't_b_count': 34, 't_a_count': 132}, 61650.0: {'volume': 117705.27759999997, 'bid': 1663.8949999999998, 'ask': 116041.38259999998, 'delta': -114377.4876, 't_count': 20, 't_b_count': 3, 't_a_count': 17}}}"
1723161730.0295,1723161762.8276,"{'delta': 1399244.7496999993, 'trade_count': 1207, 'buy_trade_count': 884, 'sell_trade_count': 323, 'val': 61650, 'vah': 61700, 'poc': 61700, 'poc_idx': 2, 'poc_volume': 2221216, 'total_volume': 5002927.971300002, 'bid_volume': 3200901.434700003, 'ask_volume': 1800116.1920000024, 'profiles': {61600.0: {'volume': 1080622.1783999999, 'bid': 660488.9574999997, 'ask': 420133.22089999996, 'delta': 240355.73660000003, 't_count': 228, 't_b_count': 154, 't_a_count': 74}, 61650.0: {'volume': 1701089.7838000013, 'bid': 1289436.8473000005, 'ask': 411652.9364999999, 'delta': 877783.910799999, 't_count': 609, 't_b_count': 477, 't_a_count': 132}, 61700.0: {'volume': 2221216.0091000013, 'bid': 1251160.5556999994, 'ask': 970055.4533999998, 'delta': 281105.10229999985, 't_count': 370, 't_b_count': 253, 't_a_count': 117}}}"
1723161762.8279,1723161843.7601,"{'delta': 738985.9774000009, 'trade_count': 1563, 'buy_trade_count': 838, 'sell_trade_count': 725, 'val': 61600, 'vah': 61700, 'poc': 61650, 'poc_idx': 1, 'poc_volume': 3346950, 'total_volume': 5005245.660799987, 'bid_volume': 2871992.569899999, 'ask_volume': 2123137.9095000015, 'profiles': {61700.0: {'volume': 217851.8028, 'bid': 0, 'ask': 217851.8028, 'delta': -217851.8028, 't_count': 12, 't_b_count': 0, 't_a_count': 12}, 61650.0: {'volume': 3346950.355999998, 'bid': 2056876.8982000009, 'ask': 1290073.4578000011, 'delta': 766803.4404, 't_count': 962, 't_b_count': 566, 't_a_count': 396}, 61600.0: {'volume': 1440443.5020000006, 'bid': 815238.9209000004, 'ask': 625204.5810999998, 'delta': 190034.33979999973, 't_count': 589, 't_b_count': 272, 't_a_count': 317}}}"
1723161843.7601,1723161908.8081,"{'delta': -1216213.8609999993, 'trade_count': 1138, 'buy_trade_count': 588, 'sell_trade_count': 550, 'val': 61600, 'vah': 61700, 'poc': 61600, 'poc_idx': 0, 'poc_volume': 2891053, 'total_volume': 5012874.430599995, 'bid_volume': 1890374.5922999997, 'ask_volume': 3114482.520899999, 'profiles': {61650.0: {'volume': 1505960.0466999984, 'bid': 761683.9016999996, 'ask': 744276.145, 'delta': 17407.756699999958, 't_count': 515, 't_b_count': 325, 't_a_count': 190}, 61700.0: {'volume': 615861.1954999999, 'bid': 486518.4723000001, 'ask': 129342.72320000001, 'delta': 357175.7491000001, 't_count': 145, 't_b_count': 116, 't_a_count': 29}, 61600.0: {'volume': 2891053.1883999994, 'bid': 650127.9108000002, 'ask': 2240925.2776, 'delta': -1590797.3668000002, 't_count': 478, 't_b_count': 147, 't_a_count': 331}}}"
1723161909.3512,1723161952.6168,"{'delta': 1462986.3624999996, 'trade_count': 1156, 'buy_trade_count': 681, 'sell_trade_count': 475, 'val': 61600, 'vah': 61600, 'poc': 61600, 'poc_idx': 1, 'poc_volume': 3770649, 'total_volume': 5008283.50329999, 'bid_volume': 3235511.7276999964, 'ask_volume': 1768030.4979, 'profiles': {61600.0: {'volume': 3770649.827399992, 'bid': 2486435.462499997, 'ask': 1284214.3649000004, 'delta': 1202221.0976, 't_count': 746, 't_b_count': 460, 't_a_count': 286}, 61550.0: {'volume': 1026395.1134999995, 'bid': 687993.0103999998, 'ask': 338402.1031000001, 'delta': 349590.9073000001, 't_count': 332, 't_b_count': 171, 't_a_count': 161}, 61650.0: {'volume': 211238.5624, 'bid': 61206.46, 'ask': 150032.1024, 'delta': -88825.64240000001, 't_count': 78, 't_b_count': 50, 't_a_count': 28}}}"
1723161952.6169,1723162000.0011,"{'delta': -1475133.3416999925, 'trade_count': 1164, 'buy_trade_count': 612, 'sell_trade_count': 552, 'val': 61550, 'vah': 61700, 'poc': 61600, 'poc_idx': 1, 'poc_volume': 2986531, 'total_volume': 5008526.3068999965, 'bid_volume': 1766634.8067000017, 'ask_volume': 3241521.707699996, 'profiles': {61650.0: {'volume': 1696288.5526, 'bid': 511930.1864999999, 'ask': 1184358.3660999998, 'delta': -672428.1796000003, 't_count': 441, 't_b_count': 236, 't_a_count': 205}, 61600.0: {'volume': 2986531.522799995, 'bid': 993236.4811000002, 'ask': 1993295.0416999985, 'delta': -1000058.5605999972, 't_count': 578, 't_b_count': 273, 't_a_count': 305}, 61700.0: {'volume': 41263.8372, 'bid': 25720.787099999998, 'ask': 15543.050100000002, 'delta': 10177.737, 't_count': 43, 't_b_count': 33, 't_a_count': 10}, 61550.0: {'volume': 284442.3943, 'bid': 235809.02790000004, 'ask': 48633.366400000006, 'delta': 187175.66150000002, 't_count': 102, 't_b_count': 70, 't_a_count': 32}}}"
1723162000.0011,1723162046.2013,"{'delta': -3283643.932099999, 'trade_count': 1040, 'buy_trade_count': 388, 'sell_trade_count': 652, 'val': 61550, 'vah': 61550, 'poc': 61550, 'poc_idx': 0, 'poc_volume': 4820856, 'total_volume': 5701742.289099994, 'bid_volume': 1209049.1785000002, 'ask_volume': 4482962.4410999995, 'profiles': {61600.0: {'volume': 880885.8384000001, 'bid': 264279.00120000006, 'ask': 616606.8371999997, 'delta': -352327.8360000004, 't_count': 344, 't_b_count': 120, 't_a_count': 224}, 61550.0: {'volume': 4820856.450699999, 'bid': 944770.1773000009, 'ask': 3876086.2733999975, 'delta': -2931316.0961000007, 't_count': 696, 't_b_count': 268, 't_a_count': 428}}}"
1723162046.2013,1723162068.911,"{'delta': 1803596.3500999997, 'trade_count': 765, 'buy_trade_count': 402, 'sell_trade_count': 363, 'val': 61550, 'vah': 61550, 'poc': 61550, 'poc_idx': 0, 'poc_volume': 5001145, 'total_volume': 5001145.686099987, 'bid_volume': 3402371.018099997, 'ask_volume': 1598713.108000001, 'profiles': {61550.0: {'volume': 5001145.686099987, 'bid': 3402371.018099997, 'ask': 1598774.668000001, 'delta': 1803596.3500999997, 't_count': 765, 't_b_count': 402, 't_a_count': 363}}}"
1723162068.9111,1723162112.453,"{'delta': 1249092.1836999997, 'trade_count': 826, 'buy_trade_count': 491, 'sell_trade_count': 335, 'val': 61550, 'vah': 61550, 'poc': 61550, 'poc_idx': 0, 'poc_volume': 3886694, 'total_volume': 5000642.521500005, 'bid_volume': 3122774.9831999997, 'ask_volume': 1875775.1689000009, 'profiles': {61550.0: {'volume': 3886694.4330999954, 'bid': 2175113.5571, 'ask': 1711580.8760000016, 'delta': 463532.6810999986, 't_count': 703, 't_b_count': 423, 't_a_count': 280}, 61600.0: {'volume': 1113948.0884000007, 'bid': 949753.7955, 'ask': 164194.29289999997, 'delta': 785559.5025999997, 't_count': 123, 't_b_count': 68, 't_a_count': 55}}}"
1723162112.453,1723162150.0023,"{'delta': -12819.799599999864, 'trade_count': 680, 'buy_trade_count': 337, 'sell_trade_count': 343, 'val': 61550, 'vah': 61550, 'poc': 61550, 'poc_idx': 1, 'poc_volume': 4047369, 'total_volume': 5009190.818600002, 'bid_volume': 2498185.5095000006, 'ask_volume': 2495314.780600001, 'profiles': {61550.0: {'volume': 4047369.931400002, 'bid': 2010694.8148999999, 'ask': 2036675.1165000014, 'delta': -25980.301599999668, 't_count': 572, 't_b_count': 292, 't_a_count': 280}, 61500.0: {'volume': 961820.8872000001, 'bid': 487490.6946, 'ask': 474330.19260000007, 'delta': 13160.501999999948, 't_count': 108, 't_b_count': 45, 't_a_count': 63}}}"
